Name,Location,Year,Car_Age,Price
Audi A4 2.0 TDI Multitronic,Jaipur,2012,13,13.5
Honda City ZX CVT,Mumbai,2007,18,1.85
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,6,35.67
Maruti Ertiga SHVS VDI,Pune,2016,9,8.15
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,7,10.5
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,17,14.5
Mahindra XUV500 W8 4WD,Mumbai,2015,10,9.65
Hyundai i10 Sportz 1.2 AT,Kochi,2012,13,3.48
Nissan Terrano XV D Pre,Kochi,2015,10,6.92
Honda Brio VX AT,Coimbatore,2016,9,6.46
Audi A6 2.0 TDI Design Edition,Delhi,2014,11,29.5
Toyota Innova 2.0 G1,Chennai,2006,19,4.5
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,13,11.75
Maruti Swift VDI,Jaipur,2012,13,3.75
Tata Zest Revotron 1.2T XE,Pune,2017,8,4.5
Honda Amaze SX i-VTEC,Kochi,2016,9,4.82
Ford Figo Diesel ZXI,Hyderabad,2012,13,2.8
Maruti Ritz VDi,Jaipur,2013,12,3.11
Honda City i VTEC E,Delhi,2009,16,3.25
BMW 5 Series 2003-2012 525d,Delhi,2011,14,13.9
Hyundai i10 Sportz 1.2,Pune,2009,16,2.25
Hyundai Grand i10 Sportz,Bangalore,2016,9,5.75
Honda Amaze SX i-VTEC,Mumbai,2016,9,5.0
Toyota Fortuner 4x2 Manual,Delhi,2014,11,16.5
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,7,39.58
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,12,5.5
Mahindra XUV500 W8 2WD,Delhi,2014,11,8.1
Honda Amaze SX i-DTEC,Kolkata,2015,10,3.5
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,12,2.79
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,15,3.45
Maruti Wagon R VXI BS IV,Bangalore,2016,9,4.45
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,15,2.65
Hyundai i20 1.4 CRDi Sportz,Pune,2011,14,3.8
Hyundai i20 Asta 1.2,Mumbai,2014,11,4.65
Datsun GO Plus T Petrol,Pune,2017,8,3.95
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,15,9.8
Hyundai i20 2015-2017 Asta,Pune,2009,16,2.7
Maruti Omni 5 Str STD,Coimbatore,2010,15,2.41
Toyota Etios Liva 1.2 G,Ahmedabad,2014,11,3.9
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,14,24.0
Mahindra XUV500 W8 2WD,Delhi,2012,13,5.75
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,11,5.25
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,8,19.25
Maruti Eeco 5 Seater AC,Coimbatore,2017,8,3.91
Tata Nano Twist XT,Bangalore,2014,11,2.15
BMW 3 Series 320d Luxury Line,Mumbai,2015,10,20.75
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,15,3.35
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,11,11.11
Volvo V40 Cross Country D3,Bangalore,2014,11,20.0
Nissan Micra XV CVT,Coimbatore,2016,9,6.55
BMW 5 Series 2010-2013 525i,Mumbai,2009,16,7.0
Maruti Vitara Brezza VDi,Mumbai,2016,9,7.5
Mercedes-Benz B Class B200 CDI,Pune,2014,11,16.75
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,7,10.95
Maruti Wagon R LXI BS IV,Pune,2011,14,2.45
Tata Nano XTA,Coimbatore,2017,8,3.23
Mahindra Scorpio VLX,Kolkata,2014,11,7.75
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,16,9.35
Honda CR-V 2.4 MT,Bangalore,2007,18,5.25
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,10,7.25
Maruti Ciaz VXi Plus,Kochi,2017,8,7.47
Mahindra XUV500 AT W10 FWD,Jaipur,2016,9,13.25
Maruti Ritz VXI ABS,Coimbatore,2016,9,5.81
Maruti Alto K10 VXI,Hyderabad,2014,11,2.6
Mercedes-Benz SLC 43 AMG,Kolkata,2017,8,54.0
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,6,11.5
Maruti Alto LXi BSIII,Chennai,2010,15,1.6
BMW 1 Series 118d Base,Coimbatore,2015,10,17.22
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,10,6.0
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,13,3.95
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,11,17.95
Honda Amaze SX i-DTEC,Kolkata,2014,11,3.7
Maruti Swift VVT VXI,Kochi,2016,9,5.43
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,13,13.49
Chevrolet Beat LT Option,Pune,2014,11,2.85
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,12,4.75
Maruti Ciaz 1.4 Alpha,Kochi,2018,7,9.9
Audi RS5 Coupe,Mumbai,2013,12,37.0
BMW 3 Series Luxury Line,Mumbai,2014,11,26.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,10,23.32
Maruti Swift VDI,Chennai,2016,9,6.25
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,15,30.0
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,9,9.86
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,13,8.5
Hyundai EON Magna Plus,Kochi,2019,6,4.23
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,13,3.5
Datsun GO NXT,Kolkata,2016,9,2.5
Honda Brio S MT,Kolkata,2013,12,2.39
Mercedes-Benz B Class B180,Delhi,2013,12,11.25
Honda City i DTEC V,Kochi,2015,10,7.11
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,9,10.9
Maruti Swift VXI Optional,Ahmedabad,2017,8,6.2
Mahindra XUV500 W8 2WD,Mumbai,2012,13,7.9
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,11,4.42
Toyota Fortuner 4x2 Manual,Mumbai,2012,13,13.5
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,12,6.25
Ford Figo Diesel Titanium,Jaipur,2010,15,2.1
BMW X5 xDrive 30d,Mumbai,2015,10,45.0
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,8,33.66
Honda Brio V MT,Bangalore,2012,13,3.65
Hyundai i10 Magna 1.2,Delhi,2013,12,2.75
Mercedes-Benz GLC 220,Bangalore,2016,9,42.5
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,6,6.5
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,13,19.0
Volkswagen Vento Petrol Highline AT,Mumbai,2013,12,4.45
Mini Countryman Cooper D,Jaipur,2017,8,23.0
Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,11,8.35
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,11,22.95
Chevrolet Beat Diesel LT,Jaipur,2012,13,1.5
Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,13,6.89
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,19,1.45
BMW 5 Series 520d Luxury Line,Hyderabad,2014,11,33.5
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,18,1.25
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,13,4.2
Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,10,6.75
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,11,32.0
Maruti Baleno Alpha,Kochi,2017,8,7.5
Hyundai Verna 1.6 SX,Delhi,2012,13,4.6
Hyundai i10 Magna 1.1,Kochi,2017,8,4.04
Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,9,10.31
Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,7,55.76
Ford Figo Diesel ZXI,Chennai,2010,15,2.6
Maruti Ertiga ZDI,Mumbai,2016,9,8.5
Honda City 1.5 GXI,Ahmedabad,2007,18,2.95
Honda Amaze S i-Dtech,Kolkata,2014,11,3.5
Hyundai i10 Magna,Jaipur,2015,10,3.55
Honda Amaze S i-Dtech,Kolkata,2013,12,3.25
Skoda Laura Ambiente,Hyderabad,2008,17,4.5
Renault Duster 85PS Diesel RxL,Delhi,2014,11,5.35
Mahindra NuvoSport N6,Chennai,2017,8,6.5
Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,9,9.0
Hyundai i20 Asta Option 1.2,Kochi,2016,9,6.0
Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,16,2.75
Tata Indigo eCS GLX,Pune,2010,15,1.5
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,10,19.9
Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,11,10.0
Toyota Etios Liva GD SP,Delhi,2014,11,3.0
Maruti Swift 1.3 VXi,Kolkata,2010,15,2.11
Mercedes-Benz B Class B180,Kochi,2014,11,11.96
Honda Amaze S Diesel,Kolkata,2013,12,3.25
Hyundai Verna 1.6 SX,Jaipur,2012,13,4.75
Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,11,5.95
Hyundai Creta 1.6 VTVT S,Delhi,2015,10,8.15
Maruti Wagon R AMT VXI,Mumbai,2016,9,4.22
Mercedes-Benz New C-Class C250 Avantgarde,Kolkata,2010,15,10.5
Audi A8 L 3.0 TDI quattro,Delhi,2012,13,45.0
Hyundai i10 Magna 1.1,Pune,2012,13,2.9
Skoda Rapid 1.6 MPI AT Style Black Package,Mumbai,2017,8,8.9
Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,8,26.0
Hyundai i20 Active 1.2 SX,Coimbatore,2018,7,8.22
Honda Amaze VX i-DTEC,Kolkata,2014,11,3.5
Maruti Wagon R LXI,Chennai,2004,21,1.25
Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,12,3.7
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,7,39.41
Maruti Wagon R VXI,Kolkata,2013,12,2.65
Nissan Terrano XV Premium 110 PS Anniversary Edition,Coimbatore,2015,10,8.92
Mini Cooper Convertible S,Kochi,2017,8,35.67
Ford Figo Diesel,Bangalore,2015,10,3.6
Tata Indica V2 DLS BSII,Jaipur,2007,18,0.85
Chevrolet Beat LT,Kochi,2016,9,3.32
Volkswagen Polo Diesel Comfortline 1.2L,Mumbai,2012,13,3.6
Maruti Swift ZDi,Hyderabad,2016,9,6.8
Ford Figo Diesel EXI,Kolkata,2012,13,2.5
Toyota Innova Crysta 2.8 GX AT,Kochi,2019,6,19.64
Hyundai Santa Fe 4x4 AT,Mumbai,2011,14,7.0
Honda City i-VTEC V,Kolkata,2011,14,3.87
Hyundai i20 1.2 Magna Executive,Kochi,2018,7,6.27
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Kochi,2015,10,18.12
Chevrolet Beat Diesel LT,Mumbai,2013,12,2.65
Hyundai i20 Sportz 1.4 CRDi,Kochi,2015,10,7.2
Toyota Innova 2.5 Z Diesel 7 Seater,Coimbatore,2015,10,14.3
Maruti Ertiga VDI,Chennai,2013,12,6.9
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2014,11,10.75
Honda City i VTEC V,Kochi,2016,9,8.09
BMW X1 sDrive20d,Ahmedabad,2014,11,18.5
Hyundai Grand i10 CRDi Era,Mumbai,2017,8,4.75
Maruti Ciaz 1.3 Alpha,Chennai,2016,9,8.45
Skoda Rapid Leisure 1.6 TDI MT,Kolkata,2012,13,3.5
Hyundai Accent CRDi,Kochi,2006,19,1.8
Volkswagen Polo GT 1.5 TDI,Jaipur,2014,11,3.7
Honda Jazz 1.2 VX i VTEC,Coimbatore,2017,8,7.17
Hyundai i10 Era,Jaipur,2010,15,1.75
Hyundai Tucson 2.0 e-VGT 2WD AT GLS,Kochi,2018,7,21.99
Toyota Innova Crysta 2.4 ZX MT,Pune,2017,8,18.65
Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,Jaipur,2011,14,1.85
Maruti Swift VXI BSIV,Coimbatore,2017,8,5.95
Hyundai Grand i10 Magna,Mumbai,2014,11,3.75
Maruti Swift VDI,Pune,2012,13,3.75
Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,17,2.6
Hyundai i20 1.2 Sportz,Mumbai,2010,15,2.8
Mercedes-Benz GLE 350d,Coimbatore,2017,8,61.29
Mercedes-Benz New C-Class C 220 CDI CLASSIC,Bangalore,2014,11,18.0
Maruti Ritz ZDi,Hyderabad,2014,11,4.35
Hyundai Creta 1.6 CRDi SX,Bangalore,2016,9,13.75
Maruti A-Star Vxi,Pune,2010,15,2.0
Renault Duster 110PS Diesel RXZ Option,Delhi,2016,9,10.0
Fiat Grande Punto 1.3 Emotion Pack (Diesel),Delhi,2010,15,1.65
BMW X3 xDrive30d M Sport,Coimbatore,2017,8,45.77
Hyundai i10 Sportz,Bangalore,2010,15,3.25
Toyota Innova 2.5 G4 Diesel 7-seater,Pune,2016,9,12.8
Maruti Zen VXI BSII,Mumbai,2002,23,0.55
Maruti Swift VDI,Hyderabad,2018,7,7.15
Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV,Pune,2013,12,7.0
Tata Zest Quadrajet 1.3 75PS XE,Pune,2017,8,3.75
Ford EcoSport 1.0 Ecoboost Titanium Plus,Mumbai,2017,8,8.5
Maruti Swift Dzire ZDI,Jaipur,2012,13,4.35
Maruti Alto 800 LXI,Kochi,2016,9,3.26
Honda City 1.5 S MT,Jaipur,2011,14,4.21
Audi Q7 3.0 TDI Quattro Technology,Kochi,2018,7,70.36
Skoda Laura 1.9 TDI AT Ambiente,Mumbai,2009,16,2.95
Hyundai Verna 1.6 SX VTVT (O),Kochi,2012,13,4.28
Honda City 1.5 V AT,Jaipur,2009,16,3.57
Hyundai i20 Magna Optional 1.4 CRDi,Kolkata,2013,12,3.11
Hyundai i20 Sportz AT 1.4,Coimbatore,2014,11,5.96
Volkswagen Vento Diesel Highline,Hyderabad,2011,14,4.7
Honda City i VTEC VX,Ahmedabad,2014,11,6.9
Tata Zest Quadrajet 1.3 75PS XE,Pune,2018,7,5.25
BMW 5 Series 2003-2012 520d,Pune,2015,10,28.0
Maruti Wagon R LXI Minor,Delhi,2009,16,1.35
Honda Jazz VX,Delhi,2015,10,4.85
Volkswagen Jetta 2007-2011 2.0 TDI Comfortline,Coimbatore,2012,13,6.7
Hyundai i10 Magna 1.2,Hyderabad,2010,15,3.1
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2015,10,18.64
Hyundai i10 Magna 1.2 iTech SE,Pune,2012,13,2.8
Toyota Innova Crysta 2.4 ZX MT,Chennai,2016,9,20.25
Audi A6 2011-2015 2.0 TDI Technology,Kochi,2015,10,26.78
Toyota Innova 2.5 VX (Diesel) 7 Seater,Hyderabad,2010,15,8.26
Volkswagen Polo Petrol Trendline 1.2L,Mumbai,2015,10,3.89
Maruti Alto K10 LXI,Hyderabad,2011,14,2.1
Honda City i-VTEC CVT ZX,Mumbai,2017,8,12.69
Tata Indigo LX,Coimbatore,2013,12,2.58
Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,11,20.77
Mercedes-Benz GLA Class 200 CDI SPORT,Delhi,2015,10,20.26
Maruti Celerio VXI AT,Hyderabad,2014,11,4.25
Mercedes-Benz GLE 250d,Hyderabad,2017,8,57.0
Land Rover Range Rover HSE Dynamic,Delhi,2017,8,44.0
Volkswagen Vento Diesel Trendline,Hyderabad,2011,14,3.65
Maruti Omni 8 Seater BSIV,Hyderabad,2012,13,2.05
Honda Brio 1.2 VX MT,Kochi,2012,13,3.13
Tata Sumo Delux,Hyderabad,2000,25,1.5
Tata Indica Vista Aura 1.3 Quadrajet,Pune,2012,13,2.85
Maruti Wagon R LXI BS IV,Delhi,2012,13,2.65
Mahindra XUV500 W8 4WD,Hyderabad,2015,10,10.6
Tata Indigo LS Dicor,Pune,2008,17,1.25
Maruti Ertiga Paseo VXI,Mumbai,2018,7,8.25
Honda Accord 2.4 A/T,Mumbai,2011,14,4.45
Maruti Swift Dzire VDi,Kolkata,2012,13,3.7
Ford Fiesta EXi 1.4 TDCi Ltd,Hyderabad,2009,16,2.8
Honda City ZX GXi,Kolkata,2008,17,1.8
Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,11,21.95
BMW 6 Series 640d Gran Coupe,Mumbai,2011,14,49.0
Audi Q7 45 TDI Quattro Technology,Coimbatore,2017,8,62.67
Hyundai i20 1.4 CRDi Asta,Pune,2012,13,5.5
Hyundai i10 Sportz AT,Bangalore,2009,16,2.95
Honda Jazz 1.2 V CVT i VTEC,Kochi,2016,9,6.86
Maruti Swift VDI BSIV,Hyderabad,2015,10,6.15
Hyundai i20 Asta 1.2,Pune,2011,14,3.3
Volkswagen Polo Petrol Comfortline 1.2L,Kolkata,2011,14,2.55
Maruti Alto LXi,Ahmedabad,2009,16,1.5
Toyota Corolla H4,Chennai,2004,21,2.5
Maruti Alto LXi,Chennai,2006,19,1.4
Tata Manza ELAN Quadrajet BS IV,Pune,2012,13,3.4
Maruti Alto LXi,Pune,2012,13,2.25
Skoda Octavia Ambition Plus 2.0 TDI AT,Kolkata,2013,12,7.5
Toyota Corolla H4,Kolkata,2008,17,2.8
Hyundai i20 Asta Option 1.2,Coimbatore,2016,9,7.66
Maruti Vitara Brezza LDi,Chennai,2016,9,7.15
Honda City 1.5 V MT,Delhi,2010,15,3.5
Tata Indica Vista Aqua 1.3 Quadrajet,Hyderabad,2014,11,3.5
Honda Amaze S i-Dtech,Kolkata,2013,12,3.45
Hyundai EON D Lite Plus,Coimbatore,2016,9,3.55
BMW 3 Series Luxury Line,Kochi,2015,10,25.99
Hyundai Verna 1.6 SX,Bangalore,2012,13,5.25
Tata Manza Club Class Quadrajet90 LS,Ahmedabad,2013,12,2.9
Skoda Octavia RS,Jaipur,2005,20,2.05
Maruti Alto K10 VXI,Pune,2017,8,3.75
Ford Ecosport 1.5 DV5 MT Titanium Optional,Mumbai,2014,11,6.75
Chevrolet Spark 1.0 LS,Kolkata,2011,14,0.95
Jaguar XF 2.0 Diesel Portfolio,Hyderabad,2017,8,52.0
Honda CR-V RVi MT,Jaipur,2007,18,3.91
Skoda Superb L&K 1.8 TSI AT,Kochi,2019,6,27.3
Hyundai i10 Magna 1.2,Chennai,2009,16,2.7
Maruti Swift LDI,Delhi,2013,12,3.5
Maruti Swift Dzire VXi AT,Mumbai,2016,9,6.2
Nissan Micra Diesel XV,Chennai,2011,14,2.75
Maruti Swift Dzire Tour LDI,Mumbai,2015,10,3.25
Ford Fiesta Classic 1.4 Duratorq CLXI,Pune,2012,13,3.25
Maruti Zen LX,Kolkata,2003,22,0.65
Mini Clubman Cooper S,Pune,2017,8,35.0
Toyota Etios GD,Kolkata,2014,11,3.25
Maruti Alto 800 2016-2019 LXI,Kolkata,2018,7,2.9
Maruti Alto VXi,Bangalore,2011,14,2.9
BMW X5 3.0d,Bangalore,2009,16,17.75
Nissan Teana XV,Mumbai,2015,10,8.25
Hyundai Grand i10 AT Asta,Coimbatore,2015,10,5.77
Maruti Vitara Brezza ZDi Plus,Hyderabad,2017,8,9.49
Audi Q7 3.0 TDI Quattro Premium Plus,Mumbai,2008,17,12.95
Mercedes-Benz GLA Class 200 CDI,Chennai,2015,10,20.0
Maruti 800 AC,Chennai,2007,18,1.0
Renault Duster 85PS Diesel RxL,Chennai,2015,10,7.1
Toyota Corolla Altis D-4D GL,Mumbai,2017,8,16.5
Mercedes-Benz New C-Class 220,Chennai,2014,11,26.0
Maruti Ritz VDi,Hyderabad,2010,15,3.2
Honda BRV i-VTEC V CVT,Kochi,2017,8,9.48
Hyundai Xcent 1.1 CRDi Base,Kochi,2015,10,4.0
Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,Jaipur,2014,11,26.5
Mercedes-Benz B Class B180,Kochi,2014,11,11.77
Mercedes-Benz E-Class 2015-2017 E250 Edition E,Bangalore,2017,8,37.0
Honda City i VTEC VX Option,Mumbai,2016,9,8.75
Honda City 1.5 S MT,Chennai,2011,14,3.75
Hyundai Verna Transform VTVT,Pune,2010,15,2.5
Jaguar XE Portfolio,Mumbai,2017,8,34.5
Honda Amaze S i-Vtech,Delhi,2015,10,4.65
Mini Cooper Convertible 1.6,Bangalore,2015,10,32.0
Mercedes-Benz S Class 2005 2013 S 350 CDI,Coimbatore,2017,8,62.81
Hyundai EON Magna Plus,Chennai,2014,11,3.25
Maruti Wagon R VXI BS IV,Kolkata,2014,11,3.1
Maruti Ritz LDi,Coimbatore,2011,14,3.91
BMW 3 Series 320d Sedan,Chennai,2011,14,11.0
Tata Xenon XT EX 4X2,Pune,2014,11,3.5
Audi A3 35 TDI Attraction,Chennai,2014,11,16.5
Land Rover Range Rover 2.2L Dynamic,Hyderabad,2012,13,30.0
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Pune,2010,15,28.0
Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,Hyderabad,2018,7,28.0
Maruti Alto LX,Jaipur,2010,15,0.92
Maruti Wagon R LXI BSIII,Pune,2013,12,2.75
Land Rover Range Rover 2.2L Prestige,Coimbatore,2017,8,53.83
Hyundai Verna 1.6 SX VTVT,Pune,2011,14,4.95
BMW 5 Series 525d Sedan,Hyderabad,2013,12,33.5
Jaguar XF Diesel,Bangalore,2013,12,27.95
Skoda Superb Elegance 1.8 TSI AT,Hyderabad,2010,15,7.25
Audi Q3 35 TDI Quattro Premium,Kochi,2017,8,25.71
Land Rover Range Rover 2.2L Pure,Coimbatore,2014,11,29.67
Mercedes-Benz New C-Class 220 CDI AT,Jaipur,2013,12,19.0
Mahindra Scorpio S10 4WD,Kochi,2017,8,13.05
BMW 3 Series Luxury Line,Mumbai,2015,10,25.5
Honda BR-V i-VTEC S MT,Pune,2017,8,8.5
Volvo S80 2006-2013 D5,Chennai,2010,15,7.25
Hyundai Accent GLE,Pune,2005,20,0.8
Hyundai i20 Active SX Petrol,Jaipur,2017,8,6.9
Mercedes-Benz GLC 43 AMG Coupe,Coimbatore,2018,7,70.99
Hyundai EON Magna Plus,Kolkata,2015,10,2.25
Hyundai Grand i10 SportZ Edition,Kochi,2018,7,5.5
Honda City 1.5 EXI S,Mumbai,2013,12,4.35
Volkswagen Polo Petrol Trendline 1.2L,Kolkata,2010,15,2.25
Audi A6 35 TFSI Matrix,Mumbai,2016,9,24.5
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Coimbatore,2017,8,12.03
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Mumbai,2011,14,8.5
Mini Cooper Convertible S,Mumbai,2014,11,28.5
Toyota Etios VD,Bangalore,2013,12,5.75
Honda Brio S MT,Delhi,2014,11,3.2
Maruti Baleno Alpha Automatic,Coimbatore,2018,7,9.89
Skoda Laura Ambiente 2.0 TDI CR AT,Coimbatore,2012,13,6.58
Hyundai EON Era Plus,Kochi,2018,7,4.06
Renault Captur 1.5 Diesel RXL,Coimbatore,2019,6,13.37
BMW 5 Series 2003-2012 GT 530d LE,Coimbatore,2011,14,25.82
Maruti Alto 800 LXI,Kochi,2016,9,3.74
Volvo V40 D3,Bangalore,2015,10,22.0
Maruti Wagon R LXI BSII,Ahmedabad,2007,18,1.45
Honda City ZX GXi,Kolkata,2008,17,2.0
Chevrolet Enjoy 1.4 LS 8,Kolkata,2014,11,3.75
Mahindra Bolero ZLX,Coimbatore,2016,9,7.7
