Unnamed: 0,Name,Location,Year,Kms_Driven,Mileage,Engine_CC,Power_bhp,Seats,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third,Car_Age
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,8.5,4806.0,500.0,5.0,14.5,False,True,False,False,False,False,17
71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,15.1,2179.0,140.0,7.0,9.65,False,False,True,False,False,False,10
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,16.95,1197.0,78.9,5.0,3.48,False,True,False,False,False,False,13
73,Nissan Terrano XV D Pre,Kochi,2015,56066,19.64,1461.0,108.5,5.0,6.92,False,False,True,False,False,False,10
74,Honda Brio VX AT,Coimbatore,2016,37300,16.5,1198.0,86.8,5.0,6.46,False,True,False,False,True,False,9
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,18.53,1968.0,187.74,5.0,29.5,False,False,False,False,True,False,11
77,Toyota Innova 2.0 G1,Chennai,2006,230000,12.4,1998.0,132.0,8.0,4.5,False,True,True,False,False,True,19
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,12.8,2494.0,102.0,7.0,11.75,False,False,True,False,False,False,13
80,Maruti Swift VDI,Jaipur,2012,95100,22.9,1248.0,74.0,5.0,3.75,False,False,True,False,False,False,13
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,17.57,1193.0,88.7,5.0,4.5,False,True,True,False,False,False,8
82,Honda Amaze SX i-VTEC,Kochi,2016,54944,18.0,1198.0,86.7,5.0,4.82,False,True,True,False,False,False,9
83,Ford Figo Diesel ZXI,Hyderabad,2012,70337,20.0,1399.0,68.0,5.0,2.8,False,False,True,False,False,False,13
84,Maruti Ritz VDi,Jaipur,2013,99638,23.2,1248.0,73.94,5.0,3.11,False,False,True,False,False,False,12
85,Honda City i VTEC E,Delhi,2009,52000,17.8,1497.0,117.3,5.0,3.25,False,True,True,False,False,False,16
86,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,16.73,1995.0,218.0,5.0,13.9,False,False,False,False,True,False,14
87,Hyundai i10 Sportz 1.2,Pune,2009,95980,20.36,1197.0,78.9,5.0,2.25,False,True,True,False,False,False,16
88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,18.9,1197.0,82.0,5.0,5.75,False,True,True,False,False,False,9
90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,17.8,1198.0,86.7,5.0,5.0,False,True,True,False,False,False,9
91,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,13.0,2982.0,168.5,7.0,16.5,False,False,True,False,False,False,11
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,17.68,1968.0,174.33,5.0,39.58,False,False,False,False,False,False,7
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,22.7,1498.0,89.84,5.0,5.5,False,False,True,False,False,False,12
94,Mahindra XUV500 W8 2WD,Delhi,2014,58000,15.1,2179.0,140.0,7.0,8.1,False,False,True,False,False,False,11
95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,25.8,1498.0,98.6,5.0,3.5,False,False,True,False,False,False,10
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,22.07,1199.0,73.9,5.0,2.79,False,False,True,False,False,False,12
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,16.2,1493.0,110.0,5.0,3.45,False,False,True,False,False,False,15
98,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,18.9,998.0,67.1,5.0,4.45,False,True,True,False,False,False,9
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,15.26,1598.0,103.5,5.0,2.65,False,True,True,False,False,False,15
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,23.0,1396.0,90.0,5.0,3.8,False,False,True,False,True,False,14
101,Hyundai i20 Asta 1.2,Mumbai,2014,30180,18.5,1197.0,82.85,5.0,4.65,False,True,True,False,False,False,11
102,Datsun GO Plus T Petrol,Pune,2017,32851,19.83,1198.0,67.0,7.0,3.95,False,True,True,False,False,False,8
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,14.94,2967.0,241.4,5.0,9.8,False,False,False,False,False,False,15
104,Hyundai i20 2015-2017 Asta,Pune,2009,66000,17.0,1197.0,80.0,5.0,2.7,False,True,True,False,True,False,16
105,Maruti Omni 5 Str STD,Coimbatore,2010,93850,14.0,796.0,35.0,5.0,2.41,False,True,True,False,False,False,15
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,17.71,1197.0,78.9,5.0,3.9,False,True,True,False,False,False,11
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,14.74,2993.0,270.9,5.0,24.0,False,False,False,False,True,False,14
108,Mahindra XUV500 W8 2WD,Delhi,2012,65000,16.0,2179.0,140.0,7.0,5.75,False,False,True,False,True,False,13
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,22.32,1582.0,126.32,5.0,5.25,False,False,False,False,False,False,11
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,11.36,2755.0,171.5,7.0,19.25,False,False,False,False,False,False,8
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,15.1,1196.0,73.0,5.0,3.91,False,True,True,False,False,False,8
112,Tata Nano Twist XT,Bangalore,2014,25500,25.4,624.0,37.5,4.0,2.15,False,True,True,False,False,False,11
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,22.69,1995.0,190.0,5.0,20.75,False,False,False,False,False,False,10
114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,13.5,1799.0,130.0,5.0,3.35,False,True,True,False,False,False,15
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,12.99,2494.0,100.6,7.0,11.11,False,False,True,False,False,False,11
116,Volvo V40 Cross Country D3,Bangalore,2014,32700,23.3,1984.0,150.0,5.0,20.0,False,False,False,False,False,False,11
117,Nissan Micra XV CVT,Coimbatore,2016,39882,19.15,1198.0,75.94,5.0,6.55,False,True,False,False,False,False,9
118,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,10.8,2497.0,215.0,5.0,7.0,False,True,False,False,False,False,16
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,24.3,1248.0,88.5,5.0,7.5,False,False,True,False,False,False,9
121,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,15.0,2143.0,107.3,5.0,16.75,False,False,False,False,True,False,11
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,22.0,1582.0,126.2,5.0,10.95,False,False,True,False,False,False,7
123,Maruti Wagon R LXI BS IV,Pune,2011,43874,18.9,998.0,67.1,5.0,2.45,False,True,True,False,False,False,14
124,Tata Nano XTA,Coimbatore,2017,32684,21.9,624.0,37.48,4.0,3.23,False,True,False,False,False,False,8
125,Mahindra Scorpio VLX,Kolkata,2014,42000,12.05,2179.0,120.0,8.0,7.75,False,False,True,False,False,False,11
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,11.7,1796.0,178.0,5.0,9.35,False,True,False,False,False,False,16
128,Honda CR-V 2.4 MT,Bangalore,2007,47700,10.8,2354.0,152.0,5.0,5.25,False,True,True,False,True,False,18
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,21.21,1498.0,103.2,5.0,7.25,False,False,False,False,False,False,10
130,Maruti Ciaz VXi Plus,Kochi,2017,44285,20.73,1373.0,91.1,5.0,7.47,False,True,True,False,False,False,8
131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,16.0,2179.0,140.0,7.0,13.25,False,False,False,False,False,False,9
132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,21.1,1197.0,85.8,5.0,5.81,False,True,True,False,False,False,9
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,24.07,998.0,67.1,5.0,2.6,False,True,True,False,False,False,11
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,19.0,2996.0,362.07,2.0,54.0,False,True,False,False,False,False,8
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,17.0,1591.0,121.3,5.0,11.5,False,True,False,False,False,False,6
136,Maruti Alto LXi BSIII,Chennai,2010,94385,19.7,796.0,46.3,5.0,1.6,False,True,True,False,True,False,15
137,BMW 1 Series 118d Base,Coimbatore,2015,31821,20.58,1995.0,143.0,5.0,17.22,False,False,False,False,False,False,10
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,19.0,1199.0,88.7,5.0,6.0,False,True,False,False,False,False,10
139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,13.5,1799.0,130.0,5.0,3.95,False,True,True,False,False,False,13
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,19.27,2143.0,170.0,5.0,17.95,False,False,False,False,False,False,11
141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,25.8,1498.0,98.6,5.0,3.7,False,False,True,False,False,False,11
142,Maruti Swift VVT VXI,Kochi,2016,34204,22.0,1197.0,81.8,5.0,5.43,False,True,True,False,False,False,9
144,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,11.5,2982.0,171.0,7.0,13.49,False,False,True,False,False,False,13
145,Chevrolet Beat LT Option,Pune,2014,38800,18.6,1199.0,76.8,5.0,2.85,False,True,True,False,False,False,11
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,21.14,1498.0,103.52,5.0,4.75,False,False,True,False,False,False,12
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,20.73,1373.0,91.1,5.0,9.9,False,True,True,False,False,False,7
148,Audi RS5 Coupe,Mumbai,2013,23000,11.05,2894.0,444.0,4.0,37.0,False,True,False,False,False,False,12
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,21.76,1995.0,190.0,5.0,26.5,False,False,False,False,False,False,11
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,17.11,1968.0,174.33,5.0,23.32,False,False,False,False,False,False,10
151,Maruti Swift VDI,Chennai,2016,35000,22.9,1248.0,74.0,5.0,6.25,False,False,True,False,False,False,9
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,7.81,5461.0,362.9,5.0,30.0,False,True,False,False,False,False,15
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,21.66,1498.0,103.52,5.0,9.86,False,False,False,False,False,False,9
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,17.2,1968.0,138.1,5.0,8.5,False,False,False,False,False,False,13
155,Hyundai EON Magna Plus,Kochi,2019,14322,21.1,814.0,55.2,5.0,4.23,False,True,True,False,False,False,6
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,22.07,1199.0,73.9,5.0,3.5,False,False,True,False,False,False,13
157,Datsun GO NXT,Kolkata,2016,6000,20.63,1198.0,67.06,5.0,2.5,False,True,True,False,False,False,9
158,Honda Brio S MT,Kolkata,2013,33280,19.4,1198.0,86.8,5.0,2.39,False,True,True,False,False,False,12
159,Mercedes-Benz B Class B180,Delhi,2013,29000,14.8,1595.0,120.7,5.0,11.25,False,True,False,False,False,False,12
160,Honda City i DTEC V,Kochi,2015,42831,26.0,1498.0,98.6,5.0,7.11,False,False,True,False,False,False,10
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,12.99,2494.0,100.6,7.0,10.9,False,False,True,False,False,False,9
162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,20.4,1197.0,81.8,5.0,6.2,False,True,True,False,False,False,8
163,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,15.1,2179.0,140.0,7.0,7.9,False,False,True,False,False,False,13
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,22.7,1498.0,89.84,5.0,4.42,False,False,True,False,False,False,11
165,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,13.0,2982.0,168.5,7.0,13.5,False,False,True,False,False,False,13
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,21.5,1498.0,108.5,5.0,6.25,False,False,False,False,False,False,12
167,Ford Figo Diesel Titanium,Jaipur,2010,66123,20.0,1399.0,68.0,5.0,2.1,False,False,True,False,True,False,15
168,BMW X5 xDrive 30d,Mumbai,2015,41000,15.3,2993.0,258.0,5.0,45.0,False,False,False,False,False,False,10
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,19.27,2143.0,167.62,5.0,33.66,False,False,False,False,False,False,8
170,Honda Brio V MT,Bangalore,2012,45000,19.4,1198.0,86.8,5.0,3.65,False,True,True,False,True,False,13
171,Hyundai i10 Magna 1.2,Delhi,2013,60000,20.36,1197.0,78.9,5.0,2.75,False,True,True,False,False,False,12
172,Mercedes-Benz GLC 220,Bangalore,2016,44414,17.9,2143.0,170.0,5.0,42.5,False,False,False,False,False,False,9
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,18.9,1197.0,81.86,5.0,6.5,False,True,True,False,False,False,6
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,17.68,1968.0,174.33,5.0,19.0,False,False,False,False,True,False,13
175,Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,14.4,1598.0,103.6,5.0,4.45,False,True,False,False,True,False,12
176,Mini Countryman Cooper D,Jaipur,2017,8525,16.6,1998.0,112.0,5.0,23.0,False,False,False,False,True,False,8
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,22.54,1396.0,88.73,5.0,8.35,False,False,True,False,False,False,11
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,17.68,1968.0,174.33,5.0,22.95,False,False,False,False,False,False,11
179,Chevrolet Beat Diesel LT,Jaipur,2012,88000,25.44,936.0,57.6,5.0,1.5,False,False,True,False,False,False,13
180,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,13.7,1798.0,157.75,5.0,6.89,False,True,False,False,False,False,13
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,17.8,1399.0,68.0,5.0,1.45,False,False,True,False,True,False,19
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,22.48,1995.0,190.0,5.0,33.5,False,False,False,False,False,False,11
183,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,12.9,1598.0,102.5,5.0,1.25,False,True,True,False,False,False,18
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,22.07,1199.0,73.9,5.0,4.2,False,False,True,False,False,False,13
185,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,19.98,1461.0,108.5,8.0,6.75,False,False,True,False,False,False,10
186,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,13.0,2143.0,201.1,5.0,32.0,False,False,False,False,False,False,11
187,Maruti Baleno Alpha,Kochi,2017,24773,21.4,1197.0,83.1,5.0,7.5,False,True,True,False,False,False,8
188,Hyundai Verna 1.6 SX,Delhi,2012,62000,22.32,1582.0,126.32,5.0,4.6,False,False,True,False,False,False,13
189,Hyundai i10 Magna 1.1,Kochi,2017,52340,19.81,1086.0,68.05,5.0,4.04,False,True,True,False,False,False,8
190,Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,15.4,1997.0,120.0,7.0,10.31,False,False,True,False,False,False,9
191,Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,12.7,2179.0,187.7,5.0,55.76,False,False,False,False,False,False,7
192,Ford Figo Diesel ZXI,Chennai,2010,120000,20.0,1399.0,68.0,5.0,2.6,False,False,True,False,False,False,15
193,Maruti Ertiga ZDI,Mumbai,2016,33000,25.47,1248.0,88.5,7.0,8.5,False,False,True,False,False,False,9
194,Honda City 1.5 GXI,Ahmedabad,2007,60006,0.0,1493.0,100.0,5.0,2.95,False,True,True,False,False,False,18
195,Honda Amaze S i-Dtech,Kolkata,2014,52000,25.8,1498.0,98.6,5.0,3.5,False,False,True,False,False,False,11
196,Hyundai i10 Magna,Jaipur,2015,43571,20.36,1197.0,78.9,5.0,3.55,False,True,True,False,False,False,10
197,Honda Amaze S i-Dtech,Kolkata,2013,50000,25.8,1498.0,98.6,5.0,3.25,False,False,True,False,False,False,12
198,Skoda Laura Ambiente,Hyderabad,2008,113000,17.5,1896.0,106.0,5.0,4.5,False,False,True,False,False,False,17
199,Renault Duster 85PS Diesel RxL,Delhi,2014,90000,19.87,1461.0,83.8,5.0,5.35,False,False,True,False,False,False,11
200,Mahindra NuvoSport N6,Chennai,2017,29000,17.45,1493.0,100.0,7.0,6.5,False,False,True,False,True,False,8
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,24.3,1248.0,88.5,5.0,9.0,False,False,True,False,False,False,9
202,Hyundai i20 Asta Option 1.2,Kochi,2016,61012,18.6,1197.0,81.83,5.0,6.0,False,True,True,False,False,False,9
203,Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,87459,14.7,1390.0,85.0,5.0,2.75,False,True,True,False,False,False,16
204,Tata Indigo eCS GLX,Pune,2010,70500,15.64,1193.0,64.1,5.0,1.5,False,True,True,False,False,False,15
205,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,64103,15.73,1968.0,174.33,5.0,19.9,False,False,False,False,False,False,10
206,Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,76000,14.7,1798.0,177.5,5.0,10.0,False,True,False,False,False,False,11
207,Toyota Etios Liva GD SP,Delhi,2014,104000,23.59,1364.0,67.06,5.0,3.0,False,False,True,False,False,False,11
208,Maruti Swift 1.3 VXi,Kolkata,2010,42001,16.1,,,5.0,2.11,False,True,True,False,False,False,15
209,Mercedes-Benz B Class B180,Kochi,2014,37245,14.8,1595.0,120.7,5.0,11.96,False,True,False,False,False,False,11
210,Honda Amaze S Diesel,Kolkata,2013,45000,27.4,1498.0,98.6,5.0,3.25,False,False,True,False,False,False,12
211,Hyundai Verna 1.6 SX,Jaipur,2012,117837,22.32,1582.0,126.32,5.0,4.75,False,False,True,False,True,False,13
212,Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,30000,20.46,1461.0,83.8,5.0,5.95,False,False,True,False,False,False,11
